network_type,canonical_name,dominant_plotline,plotline_count,episode_count,betweenness_full,weighted_degree_full,betweenness_removed,weighted_degree_removed,betweenness_change,community_full,community_removed,community_shifted,cross_scale_community_shift,betweenness_norm,plotline_norm,bridge_score
coarse,Marjorie,slothrop_london_transition,2,2,0.0,0.3490790255496138,0.0,0.5366079703429101,0.0,1,4,True,False,0.0,0.2222222222222222,0.21666666666666667
coarse,Carroll Eventyr,counterforce_science_london,3,6,0.0044008397932816,2.2637534773772288,0.013205380577427822,2.4724814477769312,0.008804540784146222,2,2,False,True,0.018276324614352565,0.3333333333333333,0.20822434607645865
coarse,Nora Dodson-Truck,slothrop_london_transition,3,3,4.037467700258397e-05,1.3410353535353534,4.101049868766404e-05,1.476627783413032,6.35821685080074e-07,2,2,False,True,0.00016767270288397046,0.3333333333333333,0.20007545271629779
coarse,Thanatz,rocket_endgame,6,12,0.0,3.463554355025578,0.025098425196850394,4.163269843734339,0.025098425196850394,3,3,False,False,0.0,0.6666666666666666,0.19999999999999998
coarse,Hilary Bounce,slothrop_london_transition,1,3,6.056201550387597e-05,1.0088691796008868,0.0007381889763779527,1.2857142857142858,0.0006776269608740768,1,4,True,False,0.00025150905432595576,0.1111111111111111,0.18344651240778
coarse,Sigmund (Bad Karma companion),anubis_bad_karma_detour,1,2,0.0,0.8369453044375645,0.0,0.8105369807497467,0.0,1,3,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,G. M. B. Haftung,slothrop_zone_quest,1,2,0.0,0.7058513189448442,0.0,0.8944444444444444,0.0,1,3,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Tamara,slothrop_london_transition,1,2,0.0,0.6341463414634146,0.0,0.7571428571428571,0.0,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Zhdaev,slothrop_zone_quest,1,2,0.0,0.59568345323741,0.0,0.7833333333333333,0.0,1,3,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Villard Dumpster,slothrop_london_transition,1,2,0.0,0.5170731707317073,0.03481791338582677,0.9294871794871795,0.03481791338582677,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Michele,slothrop_london_transition,1,2,0.0,0.4678492239467849,0.0,0.6857142857142857,0.0,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Semyavin,slothrop_london_transition,1,1,0.0,0.4390243902439025,0.0,0.7666666666666667,0.0,1,4,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Mickey Rooney,slothrop_zone_quest,1,2,0.0,0.4175824175824176,0.0,0.9927272727272728,0.0,1,3,True,False,0.0,0.1111111111111111,0.18333333333333332
coarse,Hilde,slothrop_zone_quest,1,1,0.0,0.39568345323741,0.0,0.5333333333333333,0.0,1,3,True,False,0.0,0.1111111111111111,0.18333333333333332
